year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2014,duplin,37061,12.8,0.84,0.66,19.62,51.77,11.64,61.25,30.18,26.34,9.53,6.85,20.4,36.1,33.7,TRUE
2010,durham,37063,10,0.73,3.83,27.81,42.01,8.42,65.95,41.15,23.46,5.28,4.49,18.9,27.6,NA,FALSE
2011,durham,37063,9.8,0.69,3.82,28.17,41.7,8.16,66.22,40.73,23.7,5.46,4.48,15.9,29.2,21.4,FALSE
2012,durham,37063,9.9,0.69,3.85,28.34,41.62,8.06,66.43,40.37,23.74,5.88,4.51,15.5,30.3,20.3,FALSE
2013,durham,37063,9.1,0.68,3.9,28.47,41.63,7.96,66.72,40.19,23.78,6.21,4.51,14.6,30.3,20.3,FALSE
2014,durham,37063,8.3,0.66,3.98,28.63,41.6,7.81,67.07,39.94,23.8,6.6,4.53,13.6,29.4,20.3,FALSE
2010,edgecombe,37065,12.8,0.35,0.22,40.74,31.64,2.08,70.87,29.61,28.93,8.11,6.31,29.6,37.8,NA,FALSE
2011,edgecombe,37065,13.5,0.38,0.25,41.33,31.51,2.07,71.4,29.49,29.05,8.42,6.52,28.1,37.2,31.6,FALSE
2012,edgecombe,37065,13.8,0.4,0.26,41.57,31.3,2.1,71.44,29.32,28.56,8.94,6.72,27.8,40.2,30.8,FALSE
2013,edgecombe,37065,14.1,0.44,0.22,42.05,31.41,2.15,71.96,29.46,28.41,9.32,6.93,21.4,40.2,30.8,FALSE
2014,edgecombe,37065,13.8,0.47,0.23,42.63,31.3,2.16,72.47,29.46,28.25,9.78,7.15,20.9,37,29,FALSE
2010,forsyth,37067,9.4,0.54,1.48,18.88,51.71,6.59,66.01,33.16,26.42,6.95,6.08,22.1,24.7,NA,FALSE
2011,forsyth,37067,9.3,0.54,1.54,19.02,51.6,6.51,66.2,32.84,26.66,7.08,6.14,21.5,25,22.7,FALSE
2012,forsyth,37067,9.6,0.56,1.6,19.13,51.72,6.52,66.48,32.69,26.59,7.57,6.16,20.8,25.6,21.3,FALSE
2013,forsyth,37067,10.2,0.56,1.67,19.34,51.63,6.5,66.69,32.48,26.56,7.94,6.2,20,25.6,21.3,FALSE
2014,forsyth,37067,10.7,0.55,1.74,19.48,51.54,6.51,66.81,32.3,26.52,8.26,6.24,19.7,26,21.7,FALSE
2010,franklin,37069,9.6,0.59,0.47,19.83,51.96,4.35,68.5,31.53,28.56,7.57,5.19,24.2,29.8,NA,FALSE
