county_fips,pct_rural,rural
20005,36.55,Mostly Urban
20007,100,Rural
20009,32.37,Mostly Urban
20011,48.28,Mostly Urban
20013,65.71,Mostly Rural
20015,43.17,Mostly Urban
20017,100,Rural
20019,100,Rural
20021,49.66,Mostly Urban
20023,100,Rural
20025,100,Rural
20027,46.79,Mostly Urban
20029,45.91,Mostly Urban
20031,68.27,Mostly Rural
20033,100,Rural
20035,32.29,Mostly Urban
20037,35.87,Mostly Urban
20039,100,Rural
20041,63.44,Mostly Rural
20043,87.02,Mostly Rural
20045,12.12,Mostly Urban
20047,100,Rural
20049,100,Rural
20051,25.25,Mostly Urban
20053,66.98,Mostly Rural
20055,18.25,Mostly Urban
20057,20.64,Mostly Urban
20059,51.16,Mostly Rural
20061,13.89,Mostly Urban
20063,100,Rural
20065,100,Rural
20067,22.13,Mostly Urban
20069,100,Rural
20071,100,Rural
20073,64.03,Mostly Rural
20075,100,Rural
20077,100,Rural
20079,29.79,Mostly Urban
20081,100,Rural
20083,100,Rural
20085,70.87,Mostly Rural
20087,100,Rural
20089,100,Rural
20091,4.36,Mostly Urban
20093,100,Rural
20095,61.66,Mostly Rural
20097,100,Rural
20099,49.41,Mostly Urban
20101,100,Rural
20103,32.86,Mostly Urban
20105,100,Rural
20107,100,Rural
20109,100,Rural
20111,25.33,Mostly Urban
20113,41.78,Mostly Urban
20115,80.24,Mostly Rural
20117,68.95,Mostly Rural
20119,100,Rural
20121,53.1,Mostly Rural
20123,49.94,Mostly Urban
20125,40.05,Mostly Urban
20127,100,Rural
20129,100,Rural
20131,100,Rural
20133,44.03,Mostly Urban
20135,100,Rural
20137,42.91,Mostly Urban
20139,100,Rural
20141,100,Rural
20143,100,Rural
20145,33.08,Mostly Urban
20147,55.8,Mostly Rural
20149,76.39,Mostly Rural
20151,30.37,Mostly Urban
20153,100,Rural
20155,30.56,Mostly Urban
20157,100,Rural
20159,44.96,Mostly Urban
20161,16.78,Mostly Urban
20163,100,Rural
20165,100,Rural
20167,42.11,Mostly Urban
20169,13.69,Mostly Urban
20171,25.01,Mostly Urban
20173,7.15,Mostly Urban
20175,14.39,Mostly Urban
20177,13.79,Mostly Urban
20179,100,Rural
20181,26.51,Mostly Urban
20183,100,Rural
20185,100,Rural
20187,100,Rural
20189,30.07,Mostly Urban
20191,60.53,Mostly Rural
20193,31.41,Mostly Urban
20195,100,Rural
20197,100,Rural
20199,100,Rural
20201,100,Rural
20203,100,Rural
20205,73.3,Mostly Rural
20207,100,Rural
20209,4.9,Mostly Urban
21001,74.9,Mostly Rural
21003,76.9,Mostly Rural
21005,47.25,Mostly Urban
21007,100,Rural
21009,61.84,Mostly Rural
21011,100,Rural
21013,61.01,Mostly Rural
21015,23.12,Mostly Urban
21017,42.11,Mostly Urban
21019,23.84,Mostly Urban
21021,33.91,Mostly Urban
21023,100,Rural
21025,78.76,Mostly Rural
